"Parser","Test","ResultEnc","ResultDec"
"jiffy","1x (559b)",13,36
"jiffy","3x (1583b)",36,25
"jiffy","9x (4637b)",96,74
"jiffy","27x (13914b)",291,222
"jiffy","81x (41542b)",868,669
"jiffy","243x (124726b)",2610,1905
"mochijson2","1x (559b)",55,76
"mochijson2","3x (1583b)",148,186
"mochijson2","9x (4637b)",437,545
"mochijson2","27x (13914b)",1582,1656
"mochijson2","81x (41542b)",4434,5071
"mochijson2","243x (124726b)",15992,15355
"jsx","1x (559b)",139,84
"jsx","3x (1583b)",237,130
"jsx","9x (4637b)",724,381
"jsx","27x (13914b)",2084,1012
"jsx","81x (41542b)",7611,3181
"jsx","243x (124726b)",29166,12863
